import time: self [us] | cumulative | imported package
import time:       144 |        144 |   _io
import time:        26 |         26 |   marshal
import time:       138 |        138 |   nt
import time:        51 |         51 |   winreg
import time:       517 |        875 | _frozen_importlib_external
import time:       556 |        556 |   time
import time:       185 |        741 | zipimport
import time:       139 |        139 |     _codecs
import time:      1260 |       1399 |   codecs
import time:      1228 |       1228 |   encodings.aliases
import time:      1951 |       4578 | encodings
import time:       729 |        729 | encodings.utf_8
import time:       777 |        777 | encodings.cp1252
import time:        52 |         52 | _signal
import time:        58 |         58 |     _abc
import time:       805 |        862 |   abc
import time:       816 |       1677 | io
import time:        92 |         92 |       _stat
import time:       768 |        859 |     stat
import time:      1499 |       1499 |     _collections_abc
import time:       837 |        837 |       genericpath
import time:      1199 |       2035 |     ntpath
import time:      1175 |       5567 |   os
import time:       768 |        768 |   _sitebuiltins
import time:       823 |        823 |   sitecustomize
import time:      2542 |       9698 | site
import time:       930 |        930 |   __future__
import time:       942 |        942 |     warnings
import time:       963 |       1905 |   importlib
import time:       980 |        980 |               types
import time:      1342 |       2322 |             enum
import time:        93 |         93 |               _sre
import time:      1390 |       1390 |                 sre_constants
import time:      1001 |       2391 |               sre_parse
import time:       950 |       3433 |             sre_compile
import time:       137 |        137 |                 itertools
import time:       747 |        747 |                 keyword
import time:        89 |         89 |                   _operator
import time:       869 |        958 |                 operator
import time:       911 |        911 |                 reprlib
import time:       123 |        123 |                 _collections
import time:      1398 |       4273 |               collections
import time:        56 |         56 |               _functools
import time:      1157 |       5484 |             functools
import time:        51 |         51 |             _locale
import time:       887 |        887 |             copyreg
import time:      1667 |      13843 |           re
import time:        81 |         81 |             _json
import time:      1035 |       1116 |           json.scanner
import time:      1071 |      16029 |         json.decoder
import time:      1249 |       1249 |         json.encoder
import time:       877 |      18154 |       json
import time:      1154 |       1154 |               token
import time:      1818 |       2972 |             tokenize
import time:       810 |       3781 |           linecache
import time:       955 |       4735 |         traceback
import time:       932 |        932 |           _weakrefset
import time:      1489 |       2421 |         weakref
import time:       915 |        915 |         collections.abc
import time:        62 |         62 |           _string
import time:      1356 |       1418 |         string
import time:      1243 |       1243 |         threading
import time:        64 |         64 |         atexit
import time:      2673 |      13466 |       logging
import time:      1141 |       1141 |           posixpath
import time:      1264 |       2405 |         fnmatch
