import time: self [us] | cumulative | imported package
import time:       156 |        156 |   _io
import time:        36 |         36 |   marshal
import time:       166 |        166 |   nt
import time:        63 |         63 |   winreg
import time:       627 |       1046 | _frozen_importlib_external
import time:       547 |        547 |   time
import time:       228 |        775 | zipimport
import time:       184 |        184 |     _codecs
import time:      1229 |       1413 |   codecs
import time:      1382 |       1382 |   encodings.aliases
import time:      1947 |       4741 | encodings
import time:       837 |        837 | encodings.utf_8
import time:       807 |        807 | encodings.cp1252
import time:        59 |         59 | _signal
import time:        71 |         71 |     _abc
import time:       963 |       1033 |   abc
import time:       917 |       1950 | io
import time:       116 |        116 |       _stat
import time:       830 |        946 |     stat
import time:      1378 |       1378 |     _collections_abc
import time:       803 |        803 |       genericpath
import time:      1126 |       1928 |     ntpath
import time:      1434 |       5684 |   os
import time:       799 |        799 |   _sitebuiltins
import time:       885 |        885 |   sitecustomize
import time:      2637 |      10004 | site
import time:       900 |        900 |     warnings
import time:      1021 |       1921 |   importlib
import time:       128 |        128 |       itertools
import time:       769 |        769 |       keyword
import time:       115 |        115 |         _operator
import time:      1369 |       1484 |       operator
import time:       983 |        983 |       reprlib
import time:        80 |         80 |       _collections
import time:      1447 |       4888 |     collections
import time:       968 |        968 |     collections.abc
import time:       940 |        940 |         types
import time:        69 |         69 |         _functools
import time:      1208 |       2217 |       functools
import time:      1264 |       3480 |     contextlib
import time:      1526 |       1526 |       enum
import time:        88 |         88 |         _sre
import time:      1013 |       1013 |           sre_constants
import time:      1061 |       2073 |         sre_parse
import time:      1018 |       3178 |       sre_compile
import time:        63 |         63 |       _locale
import time:      1054 |       1054 |       copyreg
import time:      1561 |       7380 |     re
import time:      2264 |      18978 |   typing
import time:      1536 |      22435 | huggingface_hub
import time:       799 |        799 |     posixpath
import time:       805 |       1603 |   fnmatch
import time:        74 |         74 |   errno
import time:       868 |        868 |     urllib
import time:      1558 |       2426 |   urllib.parse
import time:      1352 |       5454 | pathlib
import time:       843 |        843 |     __future__
import time:       791 |        791 |             token
import time:      1445 |       2236 |           tokenize
import time:       747 |       2983 |         linecache
import time:      1017 |       3999 |       traceback
import time:       838 |        838 |         _weakrefset
import time:      1264 |       2102 |       weakref
import time:        49 |         49 |         _string
import time:      1356 |       1404 |       string
import time:      1255 |       1255 |       threading
import time:        51 |         51 |       atexit
import time:      2473 |      11283 |     logging
import time:      2964 |       2964 |         _socket
import time:        81 |         81 |           math
import time:       797 |        797 |           select
import time:      1211 |       2087 |         selectors
import time:      1794 |       6845 |       socket
import time:       896 |        896 |         email
import time:      1083 |       1978 |       email.errors
import time:      1410 |       1410 |         http
import time:        88 |         88 |                 binascii
import time:       757 |        757 |                 email.quoprimime
import time:       129 |        129 |                       _struct
import time:       638 |        767 |                     struct
import time:       754 |       1520 |                   base64
import time:       646 |       2166 |                 email.base64mime
import time:       634 |        634 |                     quopri
import time:       620 |       1254 |                   email.encoders
import time:       869 |       2123 |                 email.charset
import time:      1057 |       6189 |               email.header
import time:        44 |         44 |                     _bisect
import time:       624 |        668 |                   bisect
import time:        34 |         34 |                   _random
import time:        28 |         28 |                   _sha512
import time:       870 |       1598 |                 random
import time:       136 |        136 |                   _datetime
import time:      1394 |       1530 |                 datetime
import time:      1195 |       1195 |                     locale
import time:       984 |       2178 |                   calendar
